,id,name,parent_id,path,rank,deleted,is_active,creator,create_time,update_time,name_y
41,1402935143111450625,古典概型,1402935143086284800,null1402935143086284802/1402935143111450625/,0,0,1,100004747,2021-06-10 18:26:18,2021-06-10 18:26:18,
42,1402935143136616450,事件独立性,,null1402935143136616450/,0,0,1,100004747,2021-06-10 18:26:18,2021-06-10 18:26:18,
43,1402935143165976577,逻辑推理,,null1402935143165976577/,0,0,1,100004747,2021-06-10 18:26:18,2021-06-10 18:26:18,
44,1402935143191142401,判断与负判断,1402935143165976320,null1402935143165976577/1402935143191142401/,0,0,1,100004747,2021-06-10 18:26:18,2021-06-10 18:26:18,
45,1402935143216308226,联言推理,,null1402935143216308226/,0,0,1,100004747,2021-06-10 18:26:18,2021-06-10 18:26:18,
46,1402935143241474050,选言推理,,null1402935143241474050/,0,0,1,100004747,2021-06-10 18:26:18,2021-06-10 18:26:18,
47,1402935143266639873,假言推理,,null1402935143266639873/,0,0,1,100004747,2021-06-10 18:26:18,2021-06-10 18:26:18,
48,1402935143291805698,性质推理,,null1402935143291805698/,0,0,1,100004747,2021-06-10 18:26:18,2021-06-10 18:26:18,
49,1402935143316971522,模态推理,,null1402935143316971522/,0,0,1,100004747,2021-06-10 18:26:18,2021-06-10 18:26:18,
50,1402935143342137345,匹配,,null1402935143342137345/,0,0,1,100004747,2021-06-10 18:26:18,2021-06-10 18:26:18,
51,1402935143371497473,分组,,null1402935143371497473/,0,0,1,100004747,2021-06-10 18:26:18,2021-06-10 18:26:18,
52,1402935143396663298,排序,,null1402935143396663298/,0,0,1,100004747,2021-06-10 18:26:18,2021-06-10 18:26:18,
53,1402935143421829121,数字相关,,null1402935143421829121/,0,0,1,100004747,2021-06-10 18:26:18,2021-06-10 18:26:18,
54,1402935143446994946,组合推理,,null1402935143446994946/,0,0,1,100004747,2021-06-10 18:26:18,2021-06-10 18:26:18,
55,1402935143472160769,类比推理,,null1402935143472160769/,0,0,1,100004747,2021-06-10 18:26:18,2021-06-10 18:26:18,
56,1402935143493132290,归纳推理,,null1402935143493132290/,0,0,1,100004747,2021-06-10 18:26:18,2021-06-10 18:26:18,
57,1402935143522492417,因果推理,,null1402935143522492417/,0,0,1,100004747,2021-06-10 18:26:18,2021-06-10 18:26:18,
58,1402935143547658242,方案推理,,null1402935143547658242/,0,0,1,100004747,2021-06-10 18:26:18,2021-06-10 18:26:18,
59,1402935143572824065,加强,,null1402935143572824065/,0,0,1,100004747,2021-06-10 18:26:18,2021-06-10 18:26:18,
60,1402935143597989889,假设,,null1402935143597989889/,0,0,1,100004747,2021-06-10 18:26:18,2021-06-10 18:26:18,
61,1402935143627350018,解释,,null1402935143627350018/,0,0,1,100004747,2021-06-10 18:26:18,2021-06-10 18:26:18,
62,1402935143652515841,削弱,,null1402935143652515841/,0,0,1,100004747,2021-06-10 18:26:18,2021-06-10 18:26:18,
63,1402935143677681666,评价,,null1402935143677681666/,0,0,1,100004747,2021-06-10 18:26:18,2021-06-10 18:26:18,
64,1402935143702847490,写作,,null1402935143702847490/,0,0,1,100004747,2021-06-10 18:26:18,2021-06-10 18:26:18,
65,1402935143728013314,论证有效性分析,1402935143702847488,null1402935143702847490/1402935143728013314/,0,0,1,100004747,2021-06-10 18:26:18,2021-06-10 18:26:18,
